Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%
Nyrstar Sales & Marketing AG,NYRSTAR NL Z1,Special High Grade Zinc,Netherlands,,,,
Boliden Odda AS,NORZINK MADE IN NORWAY SHG,Special High Grade Zinc,Norway,,,,
Nexa Resources Cajamarquilla S.A.,VOTORANTIM CJ ZINC SHG,Special High Grade Zinc,Peru,,,,Votorantim
"Huta Cynku ""Miasteczko Slaskie"" S.A.",HCM SHG 99.995,Special High Grade Zinc,Poland,,,,
Zaklady Gorniczo-Hutnicze “Boleslaw”,ZGH Z1,Special High Grade Zinc,Poland,,,,
Joint Stock Company Chelyabinsk Zinc Plant,CZP SHG,Special High Grade Zinc,Russia,,,,
Asturiana de Zinc S.A.U.,ASTUZINC ELECTRO 99.995%,Special High Grade Zinc,Spain,,,,
Nyrstar Sales & Marketing AG,NYRSTAR CLARKSVILLE Z1,Special High Grade Zinc,USA,,,,
Aurubis Beerse NV,M,Tin,Belgium,,,,
Empresa Metalurgica Vinto,ENAF,Tin,Bolivia,,,,
Mineracao Taboca SA,MAMORE,Tin,Brazil,,,,
White Solder Metalurgia e Mineracao LTDA,WHITE SOLDER BR,Tin,Brazil,,,,
China Tin Smelter Co. Ltd.,JH,Tin,China,,,,
"Gejiu Zili Mining and Smelting Co., Ltd.",YS,Tin,China,,,,
Yunnan Tin Company Limited,YT,Tin,China,,,,
"Yunnan Chengfeng Non-Ferrous Metals Co., Ltd.",YUNHENG,Tin,China,,,,
"Gejiu Kaimeng Industry and Trade Co., Ltd",YUNXIANG,Tin,China,,,,
Gejiu Jinye Renewable Technology Co Ltd,YINSHENG,Tin,China,,,,
PT Timah Tbk.,BANKA,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,
PT. Bukit Timah,IMLI,Tin,Indonesia ,,,,
PT. Babel Inti Perkasa,IMLI BELITUNG,Tin,Indonesia ,,,,
PT Timah Tbk.,KUNDUR,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,
PT Timah Tbk.,MENTOK,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,
PT. Mitra Stania Prima,MSP,Tin,Indonesia ,,,,
PT. Refined Bangka Tin,RBT,Tin,Indonesia ,,,,
PT. Tinindo Inter Nusa,TININDO,Tin,Indonesia ,,,,
PT. Prima Timah Utama,PTU,Tin,Indonesia ,,,,
Malaysia Smelting Corporation Bhd.,MALAYSIA SMELTING CORPORATION,Tin,Malaysia,,Malaysia,Malaysia Smelting,Malaysia
Malaysia Smelting Corporation Bhd.,MALAYSIA SMELTING CORPORATION STRAITS REFINED TIN,Tin,Malaysia,,Malaysia,,
Thailand Smelting & Refining Co Ltd,PHUKET,Tin,Thailand,,,,
Thailand Smelting & Refining Co Ltd,THAISARCO,Tin,Thailand,,,,
BHP Billiton Nickel West Pty Ltd,BHP BILLITON NICKEL BRIQUETTES,Primary Nickel,Australia,,,,
BHP Nickel West Pty Ltd,BHP NICKEL BRIQUETTES,Primary Nickel,Australia,,,,BHP
Minara Resources Pty Ltd,MINARA HIGH GRADE NICKEL BRIQUETTES,Primary Nickel,Australia,,PTY,,
Votorantim Metais S.A.,TOCANTINS,Primary Nickel,Brazil,,Votorantim,,
The Cobalt Refinery Company Inc,SHERRITT NICKEL BRIQUETTES,Primary Nickel,Canada,,,,
Vale Canada Limited,VALE MELT ROUNDS,Primary Nickel,Canada,,Vale,,Vale
Vale Canada Limited,VALE NICKEL PELLETS,Primary Nickel,Canada,,Vale,,Vale
Vale Canada Limited,VALE PLATING ROUNDS,Primary Nickel,Canada,,Vale,,Vale
"Yantai Cash Industrial Co., Ltd.",CASH,Primary Nickel,China,,,,Chipper Cash
"Jinchuan Group Co., Ltd.",JINTUO GRADE 1,Primary Nickel,China,,Jinchuan International,,
Norilsk Nickel Harjavalta Oy,NORILSK NICKEL HARJAVALTA CATHODES,Primary Nickel,Finland,,,,
Norilsk Nickel Harjavalta Oy,NORILSK NICKEL HARJAVALTA BRIQUETTES,Primary Nickel,Finland,,,,
Sibanye-Stillwater Sandouville Refinery,NICKEL HP,Primary Nickel,France,,,,HP
"Sumitomo Metal Mining Co., Ltd.",SUMITOMO METAL MINING CO. LTD,Primary Nickel,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Sumitomo Metal Mining Co., Ltd.",SMM,Primary Nickel,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,
"Dynatec Madagascar S.A. a ""société anonyme""",AMBATOVY NICKEL BRIQUETTES,Primary Nickel,Madagascar,,,,
Glencore Nikkelverk AS,NIKKELVERK NICKEL,Primary Nickel,Norway,,Glencore,,
"JSC ""Kola GMK""",NORNICKEL,Primary Nickel,Russia,,,,
"JSC ""Kola GMK""",SEVERONICKEL COMBINE H-1,Primary Nickel,Russia,,,,
"JSC ""Kola GMK""",SEVERONICKEL COMBINE H-1Y,Primary Nickel,Russia,,,,
Impala Platinum Ltd,IMPALA NICKEL,Primary Nickel,South Africa,,,,
Rustenburg Platinum Mines Limited,RPM NICKEL,Primary Nickel,South Africa,,,,
Vale Canada Limited produced by Vale Europe Limited,VALE NICKEL PELLETS,Primary Nickel,UK,,Vale,,Vale
RioZim Limited,BCL EMPRESS,Primary Nickel,Zimbabwe,,,,
Aluar Aluminio Argentino SAIC,ALUAR,High Grade Primary Aluminium,Argentina,Aluminio Argentino SAIC (Aluar),Aluar,,Aluar
Rio Tinto Aluminium (Bell Bay) Limited,BBY,High Grade Primary Aluminium,Australia,,Rio Tinto,,
Boyne Smelters Ltd,BSL,High Grade Primary Aluminium,Australia,,,,
Alcoa Portland Aluminium Pty Ltd,PORTLAND,High Grade Primary Aluminium,Australia,,,,
Tomago Aluminium Co Pty Ltd,TOMAGO,High Grade Primary Aluminium,Australia,,,,
Aluminium Bahrain BSC (c),ALBA,High Grade Primary Aluminium,Bahrain,,Aluminium Bahrain,,
Albras Aluminio Brasileiro SA,ALBRAS,High Grade Primary Aluminium,Brazil ,,,,
Alcoa Aluminio SA,ALCOA BRASIL,High Grade Primary Aluminium,Brazil ,,,,
Companhia Brasileira de Aluminio,CBA,High Grade Primary Aluminium,Brazil ,,Companhia Brasileira de Aluminio,,
Alcoa Aluminio SA,SAO LUIS,High Grade Primary Aluminium,Brazil ,,,,
BHP Billiton Metais SA,SAO LUIS,High Grade Primary Aluminium,Brazil ,,,,
Alucam,ALUCAM,High Grade Primary Aluminium,Cameroon,,,,
Rio Tinto Alcan Inc.,AAR,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
Alcoa Corporation,ABCQ,High Grade Primary Aluminium,Canada,,,,
Aluminerie de Becancour Inc.,ABI,High Grade Primary Aluminium,Canada,,,,
Rio Tinto Alcan Inc.,ALMA,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
Aluminerie Alouette Inc.,ALOUETTE,High Grade Primary Aluminium,Canada,,,,
Alcoa Corporation,DESCHAMBAULT,High Grade Primary Aluminium,Canada,,,,
Rio Tinto Alcan Inc.,GBAIE,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
Rio Tinto Alcan Inc.,KIT,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
Rio Tinto Alcan Inc.,LAT,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
Rio Tinto Alcan Inc.,PLS,High Grade Primary Aluminium,Canada,,now Rio Tinto Alcan,,
"Sichuan Guangyuan Aostar Aluminium Co., Ltd.",AST,High Grade Primary Aluminium,China,,,,
Baotou Aluminium (Group) Co. Ltd,BTL,High Grade Primary Aluminium,China,,,,
"Aluminium Corporation of China Ltd, CHALCO",G*L,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,
"Aluminium Corporation of China Ltd, CHALCO",LL2,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,
"Lanzhou Liancheng Aluminium Industrial Co., Ltd",LLL,High Grade Primary Aluminium,China,,,,
"Aluminium Corporation of China Ltd, CHALCO",QHAS,High Grade Primary Aluminium,China,,Aluminum Corporation of China,,
Qingtongxia Aluminium Holding Co Ltd,QTX ND,High Grade Primary Aluminium,China,,,,
Qingtongxia Aluminium Holding Co Ltd,QTX,High Grade Primary Aluminium,China,,,,
"Henan Shenhuo Coal & Power Co., Ltd",RG,High Grade Primary Aluminium,China,,,,
Jiaozuo Wanfang Aluminium Manufacturing Co. Ltd,WF,High Grade Primary Aluminium,China,,,,
Yunnan Aluminium Co. Ltd,YL YL,High Grade Primary Aluminium,China,,,,
The Aluminium Company of Egypt,EGYPTALUM,High Grade Primary Aluminium,Egypt,,,,
Aluminium Dunkerque,AD,High Grade Primary Aluminium,France,,,,
Trimet France,TASJ,High Grade Primary Aluminium,France,,,,
TRIMET Aluminium SE,TAE,High Grade Primary Aluminium,Germany,,,,
TRIMET Aluminium SE,TAHH,High Grade Primary Aluminium,Germany,,,,
Mytilineos S.A.,AoG,High Grade Primary Aluminium,Greece,Mytilineos,,,
Alcoa Corporation,AFJA,High Grade Primary Aluminium,Iceland,,,,
Alcan Iceland Ltd.,ISAL,High Grade Primary Aluminium,Iceland,,,,
