Producer,Brand,material, Country/Region,Matching Company 90%,Matching Parent Company Cleaned 50%,Matching Company_brand 90%,Matching Parent Company_Brand Cleaned 50%,Match,Location,Category,Website
"Jiangxi Copper (QingYuan) Co., Ltd",JCC-QY,Copper - Grade A,China,,,,JCC,1,,,
"Jilin Zijin Copper Co., Ltd",JILIN ZIJIN,Copper - Grade A,China,,,,Zijin,1,,,
"Zhejiang Jiangtong Fuye Heding Copper Co., Ltd",JINFENG,Copper - Grade A,China,,,,,0,,,
"Jinlong Copper Co., Ltd",JINTUN,Copper - Grade A,China,,,,,0,,,
"Dongying Jinxi Copper Co., Ltd",JINXI,Copper - Grade A,China,,,,,0,,,
"Jinchuan Group Co., Ltd.",JNMC,Copper - Grade A,China,,Jinchuan International,,,1,,,
Guangxi Jinchuan Non-Ferrous Metals Co Ltd,JNMCc,Copper - Grade A,China,,,,,0,,,
Dongying Lufang Metals Material Co Ltd,LFC,Copper - Grade A,China,,,,,0,,,
"Yunnan Copper Industry Co., Ltd",TIE FENG,Copper - Grade A,China,,,,,0,,,
"Tongling Nonferrous Metals Group Co., Ltd.",TG-JG,Copper - Grade A,China,,Hunan Nonferrous Metals Group,,,1,,,http://www.hng.com.cn
"Jinlong Copper Co., Ltd",TG-JL,Copper - Grade A,China,,,,,0,,,
YangGu Xiangguang Copper Co Ltd,XGC,Copper - Grade A,China,,,,,0,,,
YangGu Xiangguang Copper Co Ltd,XGC II,Copper - Grade A,China,,,,,0,,,
"Henan Yuguang Gold & Lead Co., Ltd",YG,Copper - Grade A,China,Henan Yuguang Gold & Lead,,,,1,,,http://www.yggf.com.cn
"Zijin Copper Co., Ltd",ZIJIN,Copper - Grade A,China,,Zijin,,Zijin,1,,,
"Guangxi Nanko Copper Co., Ltd.",QL,Copper - Grade A,China,,,,,0,,,
Henan Zhongyuan Gold Smelter LLC,ZJZY,Copper - Grade A,China,,,,,0,,,
Boliden Harjavalta Oy,BCH,Copper - Grade A,Finland,,,,,0,,,
Aurubis AG,HK,Copper - Grade A,Germany,,,,HK,1,,,
Aurubis AG,NA-ESN,Copper - Grade A,Germany,,,,,0,,,
Hindalco Industries Limited,BIRLA COPPER,Copper - Grade A,India,,,,,0,,,
Hindalco Industries Limited,BIRLA COPPER II,Copper - Grade A,India,,,,,0,,,
Vedanta Limited,STERLITE,Copper - Grade A,India,,Vedanta Resources,,,1,,,
Vedanta Limited,STERLITE T,Copper - Grade A,India,,Vedanta Resources,,,1,,,
PT Smelting,GRESIK,Copper - Grade A,Indonesia,PT Smelting,,,,1,Indonesia,Metals & steel,http://www.ptsmelting.com/
JX Nippon Mining & Metals Corporation,HR,Copper - Grade A,Japan,,Nippon Mining,,,1,,,http://www.shinnikko-hd.co.jp
Mitsubishi Materials Corporation,MITSUBISHI,Copper - Grade A,Japan,,,Mitsubishi Group,Mitsubishi Group,1,Japan,"Food & beverage, Chemical: General, Electrical appliance, Finance & banking, Mining, Technology, telecom & electronics, Transport: General",http://www.mitsubishi.com
Onahama Smelting & Refining Co Ltd,OSR,Copper - Grade A,Japan,,,,,0,,,
JX Nippon Mining & Metals Corporation,SR-P,Copper - Grade A,Japan,,Nippon Mining,,,1,,,http://www.shinnikko-hd.co.jp
"Sumitomo Metal Mining Co., Ltd.",SUMIKO N,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Sumitomo Metal Mining Co., Ltd.",SUMIKO-S,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Sumitomo Metal Mining Co., Ltd.",SUMIKO T,Copper - Grade A,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Hibi Kyodo Smelting Co., Ltd",TAMANO-P,Copper - Grade A,Japan,,,,,0,,,
LS MnM.,ONSAN I,Copper - Grade A,Korea (South),,LS C&S,,,1,,,
LS MnM.,ONSAN II,Copper - Grade A,Korea (South),,LS C&S,,,1,,,
Lane Xang Minerals Limited,SEPON,Copper - Grade A,Laos,,,,,0,,,
Metalurgica de Cobre S.A. de C.V.,CER,Copper - Grade A,Mexico,,,,,0,,,
Myanmar Wanbao Mining Copper Ltd.,MONYWA LPT,Copper - Grade A,Myanmar,,,,,0,,,
Myanmar Yang Tse Copper Limited,MONYWA S&K,Copper - Grade A,Myanmar,,,,,0,,,
Glencore Nikkelverk AS,FHG,Copper - Grade A,Norway,,Glencore,,,1,Switzerland,"Metals & steel, Mining, Oil, gas & coal",https://www.glencore.com/
Sociedad Contractual Minera Cerro Verde,SMCV,Copper - Grade A,Peru,,,,,0,,,
Southern Peru Copper Corporation,SPCC-ILO,Copper - Grade A,Peru,,Southern,,,1,,,
Southern Peru Copper Corporation,SPCC-SXEW,Copper - Grade A,Peru,,Southern,,,1,,,
Philippine Associated Smelting and Refining Corporation,PSR ISABEL,Copper - Grade A,Philippines,,,,,0,,,
KGHM Polska Miedz SA,HMG-B,Copper - Grade A,Poland,,,,,0,,,
KGHM Polska Miedz SA,HMG-S,Copper - Grade A,Poland,,,,,0,,,
KGHM Polska Miedz SA,HML,Copper - Grade A,Poland,,,,,0,,,
PJSC “MMC “Norilsk Nickel”,NORNICKEL ,Copper - Grade A,Russia,,,,,0,,,
PJSC “MMC “Norilsk Nickel”,NORILSK,Copper - Grade A,Russia,,,,,0,,,
JSC Uralelektromed,UMMC,Copper - Grade A,Russia,,,,,0,,,
JSC Uralelektromed,UMMC II,Copper - Grade A,Russia,,,,,0,,,
Palabora Mining Company Limited,RIO TINTO PALABORA MINING COMPANY LIMITED,Copper - Grade A,South Africa,,,,Rio Tinto,1,United Kingdom,Mining,https://www.riotinto.com/
Atlantic Copper S.L.U.,FMS,Copper - Grade A,Spain,,,,,0,,,
Cobre Las Cruces S.A.,FQM-CLC,Copper - Grade A,Spain,,,,,0,,,
Boliden Mineral AB,BK,Copper - Grade A,Sweden,,,,,0,,,
ASARCO LLC,ATR,Copper - Grade A,USA,,,,,0,,,
Freeport-McMoRan Copper & Gold Inc.,CBCC,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Freeport-McMoRan Copper & Gold Inc.,CTB,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Kennecott Utah Copper LLC,KUC,Copper - Grade A,USA,,,,,0,,,
Freeport-McMoRan Copper & Gold Inc.,P*D,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Freeport-McMoRan Copper & Gold Inc.,PD*GO,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Freeport-McMoRan Copper & Gold Inc.,PDMI,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Freeport-McMoRan Copper & Gold Inc.,PDSS,Copper - Grade A,USA,,Freeport-McMoRan,,,1,United States of America,Mining,https://fcx.com/
Chambishi Metals Plc,CMC,Copper - Grade A,Zambia,Chambishi Metals,,CMC Group,CMC,1,,,
Mopani Copper Mines Plc,MCM2,Copper - Grade A,Zambia,,,,,0,,,
Konkola Copper Mines plc,REC,Copper - Grade A,Zambia,,,,,0,,,
Nyrstar Sales & Marketing AG,NYRSTAR BHAS 9997,Lead,,,,,,0,,,
Nyrstar Sales & Marketing AG,NYRSTAR BHAS 9999,Lead,,,,,,0,,,
Nyrstar Sales & Marketing AG,ZINIFEX BHAS BROKEN HILL - AUSTRALIA 9997,Lead,,,,,,0,,,
ECOBAT Resources Austria,BBU,Lead,,,,,,0,,,
Campine Recycling NV,MCR MADE IN BELGIUM,Lead,,,,,,0,,,
Umicore,UMICORE 99.97,Lead,,Umicore,,,,1,,,http://www.umicore.com
Umicore,UMICORE 99.985,Lead,,Umicore,,,,1,,,http://www.umicore.com
Umicore,UMICORE 99.99,Lead,,Umicore,,,,1,,,http://www.umicore.com
KCM AD,KUM 99.97%,Lead,,,,,,0,,,
KCM AD,KUM 99.99%,Lead,,,,,,0,,,
Teck Metals Ltd.,TECK COMINCO,Lead,,,,,,0,,,
Terrapure Environmental,NOVA PB 9997,Lead,,,,,,0,,,
Terrapure Environmental,TONOLLI CANADA,Lead,,,,,,0,,,
"Honghe Red Lead Chemical Co., Ltd.",HS Pb99.994PCT,Lead,,,,,,0,,,
"Baiyin Nonferrous Group Co., Ltd.",IBIS,Lead,,,,,,0,,,
"Henan Jinli Gold and Lead Group Co., Ltd",JIJIN,Lead,,,,,,0,,,
"Hunan Yuteng Nonferrous Metals Co., Ltd.",JINYUTENG,Lead,,,Hunan Nonferrous Metals Group,,,1,,,http://www.hng.com.cn
Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,NH-R,Lead,,,,,,0,,,
Guangxi Nandan Nanfang Metal Company Limited,NF,Lead,,,,,,0,,,
"Hunan Shui Kou Shan Nonferrous Metals Group Co., Ltd.",SKS,Lead,,,Hunan Nonferrous Metals Group,,,1,,,http://www.hng.com.cn
"Jiyuan Wanyang Smeltery Group Co., Ltd.",WANYANG,Lead,,,,,,0,,,
"Henan Yuguang Gold and Lead Co., Ltd",YUGUANG,Lead,,Henan Yuguang Gold & Lead,,,,1,,,http://www.yggf.com.cn
"Yunnan Zhenxing Industry Group Co., Ltd.",YUNSHA PB99.994%MIN,Lead,,,,,,0,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YQ 99994,Lead,,,,,,0,,,
"Luoyang Yongning Nonferrous Technology Co., Ltd",YNG,Lead,,,,,,0,,,
Shadian Refinery,YY PB 99.994PCT,Lead,,,,,,0,,,
Metalblanc,FMB PB970R,Lead,,,,,,0,,,
Metalblanc,FMB PB985R,Lead,,,,,,0,,,
Affinerie de Pont Sainte Maxence,GAST 970R,Lead,,,,,,0,,,
Societe de Traitements Chimiques des Metaux,STCM 970R,Lead,,,,,,0,,,
Aurubis AG,AURUBIS F99.985,Lead,,,,,,0,,,
ECOBAT Resources Braubach,BSB,Lead,,,,,,0,,,
ECOBAT Resources Freiberg,F,Lead,,,,,,0,,,
Nordenham Metall GmbH,ME WESER,Lead,,,,,,0,,,
ECOBAT Resources Stolberg,STOLBERG,Lead,,,,,,0,,,
Pondy Oxides and Chemicals Limited,POCL PB970R,Lead,,,,,,0,,,
Hindustan Zinc Ltd.,VEDANTA 99.99,Lead,,,,,,0,,,
Hindustan Zinc Ltd.,VEDANTA PB 99.99,Lead,,,,,,0,,,
PT. Indra Eramulti Logam Industri,IMLI PB 99.97,Lead,,,,,,0,,,
PT. Indra Eramulti Logam Industri,IMLI PB 99.99,Lead,,,,,,0,,,
Hakurnas Lead Works Ltd.,HK970R,Lead,,,,,,0,,,
Piombifera Italiana S.p.A.,MAK-1,Lead,,,,,,0,,,
Piomboleghe Srl,P. COLOMBO,Lead,,,,,,0,,,
Eco-Bat S.r.l.,ECO BAT,Lead,,,,,,0,,,
Portovesme Srl,SAN GAVINO,Lead,,,,,,0,,,
Mitsui Mining & Smelting Co Ltd,EMK-K,Lead,,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,,1,,,
Mitsui Mining & Smelting Co Ltd,EMK-T,Lead,,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,,1,,,
Toho Zinc Co Ltd,TAK,Lead,,,,,,0,,,
"Hosokura Metal Mining Co., Ltd.",THREE DIAMOND,Lead,,,,,,0,,,
Kazzinc Ltd.,YK,Lead,,Kazzinc,,,,1,Kazakhstan,Mining,
Korea Zinc Co Ltd,KZ-LEAD,Lead,,,,,,0,,,
Joong-IL Metals Inc.,JIM 99.985,Lead,,,,,,0,,,
Arayby for Industrial & Trading Company s.a.r.l.,ARAYBY 99.97% MADE IN A.C. LEBANON,Lead,,,,,,0,,,
Arayby for Industrial & Trading Company s.a.r.l.,ARAYBY 99.985% MADE IN A.C. LEBANON,Lead,,,,,,0,,,
Metalurgica Met-Mex Penoles SA de CV,PENOLES,Lead,,,,,,0,,,
"Corporación Pipsa, S.A. de C.V.",PIPSA 99.970%,Lead,,,,,,0,,,
Orzel Bialy S.A.,EAGLE 9997,Lead,,,,,,0,,,
"Huta Cynku ""Miasteczko Slaskie"" S.A.",H20POLSKAMS,Lead,,,,,,0,,,
KGHM Polska Miedz SA,KGHM PB970R,Lead,,,,,,0,,,
KGHM Polska Miedz SA,KGHM PB985R,Lead,,,,,,0,,,
KGHM Polska Miedz SA,KGHM PB990R,Lead,,,,,,0,,,
Fregat LLC,FRGT PB985R,Lead,,,,,,0,,,
Fry's Metals - a Division of Zimco Group (Pty) Ltd,FRY'S 99.97 RSL,Lead,,,,,,0,,,
"Metalurgica de Medina, S.A.",FESA,Lead,,,,,,0,,,
Derichebourg España S.A.U,RECOBAT PB,Lead,,,,,,0,,,
Derichebourg España S.A.U,RECOBAT PB985R,Lead,,,,,,0,,,
"Exide Technologies, S.L.U.",TUDOR,Lead,,,,,,0,,,
Boliden Bergsoe AB,BERA,Lead,,,,,,0,,,
Boliden Mineral AB,BOLIDEN 9997,Lead,,,,,,0,,,
Jian Shin Resources Corporation,JS PB970R,Lead,,,,,,0,,,
Thye Ming Industrial Co Ltd,TMI,Lead,,,,,,0,,,
"Bergsoe Metals Co., Ltd",BML PB99.97,Lead,,,,,,0,,,
"Bergsoe Metals Co., Ltd.",XINXIN.BML 99.994,Lead,,,,,,0,,,
Britannia Refined Metals Ltd,BLCO 9997%,Lead,,,,,,0,,,
Britannia Refined Metals Ltd,BLCO 9999%,Lead,,,,,,0,,,
Britannia Refined Metals Ltd,BLCO 99994%,Lead,,,,,,0,,,
Britannia Refined Metals Ltd,BLCO 99995%,Lead,,,,,,0,,,
Britannia Refined Metals Ltd,BLCO 99985,Lead,,,,,,0,,,
H.J. Enthoven & Sons,HJ ENTHOVEN & SONS,Lead,,,,,,0,,,
"CJSC ""SVINETS""",SVINETS 99.97,Lead,,,,,,0,,,
"CJSC ""SVINETS""",SVINETS 99.99,Lead,,,,,,0,,,
"Sanders Lead Co., Ltd.",SANDERS,Lead,,,,,,0,,,
RSR Corporation,REVERE,Lead,,,,,,0,,,
RSR Corporation,RSR-CLFR,Lead,,,,,,0,,,
RSR Corporation,RSR-INDY,Lead,,,,,,0,,,
Nyrstar Sales & Marketing AG,NYRSTAR A-Z Z1,Special High Grade Zinc,Australia,,,,,0,,,
Sun Metals Corporation Pty Ltd,SMC SHG 99.995,Special High Grade Zinc,Australia,,Sun Corporation,,SMC,1,Japan,"Technology, telecom & electronics",
Nyrstar Sales & Marketing AG,NYRSTAR OVERPELT Z1,Special High Grade Zinc,Belgium,,,,,0,,,
Nexa Recursos Minerais S.A.,VOTORANTIM JF ZINC SHG,Special High Grade Zinc,Brazil,,,,Votorantim,1,Brazil,"Finance & banking, Metals & steel, Paper & cardboard, Energy",http://www.votorantim.com.br
Nexa Recursos Minerais S.A.,VOTORANTIM TM ZINC SHG,Special High Grade Zinc,Brazil,,,,Votorantim,1,Brazil,"Finance & banking, Metals & steel, Paper & cardboard, Energy",http://www.votorantim.com.br
KCM AD,KUM 99.995,Special High Grade Zinc,Bulgaria,,,,,0,,,
"Canadian Electrolytic Zinc Limited, On behalf of Noranda Income Limited Partnership",CEZINC SHG,Special High Grade Zinc,Canada,,,,,0,,,
Teck Metals Ltd.,TECK COMINCO CANADA SHG,Special High Grade Zinc,Canada,,,,,0,,,
"Hanzhong Zinc Industry Co., Ltd",BYXY SHG,Special High Grade Zinc,China,,,,,0,,,
"Sichuan Hongda Co., Ltd.",G CI SHAN SHG,Special High Grade Zinc,China,,,,,0,,,
"Huludao Zinc Industry Co., Ltd.",HX SHG,Special High Grade Zinc,China,,,,,0,,,
"Chifeng NFC Zinc Co., Ltd.",HY99.995,Special High Grade Zinc,China,,,,,0,,,
"Baiyin Nonferrous Group Co., Ltd.",IBIS SHG,Special High Grade Zinc,China,,,,,0,,,
Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,NH-SHG,Special High Grade Zinc,China,,,,,0,,,
"Zhuzhou Smelter Group Co., Ltd.",TORCH III SHG,Special High Grade Zinc,China,,,,,0,,,
"Henan Yuguang Zinc Industry Co., Ltd.",YG SHG,Special High Grade Zinc,China,,,,,0,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YH99.995,Special High Grade Zinc,China,,,,,0,,,
"Yunnan Chihong Zinc & Germanium Co., Ltd.",YQ99.995,Special High Grade Zinc,China,,,,,0,,,
"Bayannaoer Zijin Non-ferrous Metal Co., Ltd",ZIJIN SHG,Special High Grade Zinc,China,,,,Zijin,1,,,
Boliden Kokkola Oy,KOKKOLA ZINC SHG,Special High Grade Zinc,Finland,,,,,0,,,
Hindustan Zinc Ltd.,HZL SHG 99.995,Special High Grade Zinc,India,,,,,0,,,
Hindustan Zinc Ltd.,HZL Zn SHG 99.995,Special High Grade Zinc,India,,,,,0,,,
Hindustan Zinc Ltd.,VEDANTA SHG 99.995,Special High Grade Zinc,India,,,,,0,,,
Hindustan Zinc Ltd.,VEDANTA Zn SHG 99.995,Special High Grade Zinc,India,,,,,0,,,
Portovesme Srl,NUOVA SAMIM Zn 99.995%,Special High Grade Zinc,Italy,,,,,0,,,
Akita Zinc Co Ltd,AZC SHG,Special High Grade Zinc,Japan,,,,,0,,,
Mitsui Mining & Smelting Co Ltd,EMC-H SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,,1,,,
Mitsui Mining & Smelting Co Ltd,EMC-K SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,,1,,,
Mitsui Mining & Smelting Co Ltd,HSC-SHG,Special High Grade Zinc,Japan,,joint venture Nippon Mining & Metals & Mitsui Mining & Smelting,,,1,,,
Toho Zinc Co Ltd,TOHO SHG,Special High Grade Zinc,Japan,,,,,0,,,
Korea Zinc Co Ltd,KZ-SHG 99.995,Special High Grade Zinc,Korea (South),,,,,0,,,
Young Poong Corporation,YP-SHG,Special High Grade Zinc,Korea (South),,,,,0,,,
"Industrial Minera Mexico, S.A. de C.V.",IMM SLP SHG99995,Special High Grade Zinc,Mexico,,,,,0,,,
Metalurgica Met-Mex Penoles SA de CV,PENOLES SHG,Special High Grade Zinc,Mexico,,,,,0,,,
Namzinc (Proprietary) Ltd,SZ SHG,Special High Grade Zinc,Nambia,,,,,0,,,
Nyrstar Sales & Marketing AG,NYRSTAR NL Z1,Special High Grade Zinc,Netherlands,,,,,0,,,
Boliden Odda AS,NORZINK MADE IN NORWAY SHG,Special High Grade Zinc,Norway,,,,,0,,,
Nexa Resources Cajamarquilla S.A.,VOTORANTIM CJ ZINC SHG,Special High Grade Zinc,Peru,,,,Votorantim,1,Brazil,"Finance & banking, Metals & steel, Paper & cardboard, Energy",http://www.votorantim.com.br
"Huta Cynku ""Miasteczko Slaskie"" S.A.",HCM SHG 99.995,Special High Grade Zinc,Poland,,,,,0,,,
Zaklady Gorniczo-Hutnicze “Boleslaw”,ZGH Z1,Special High Grade Zinc,Poland,,,,,0,,,
Joint Stock Company Chelyabinsk Zinc Plant,CZP SHG,Special High Grade Zinc,Russia,,,,,0,,,
Asturiana de Zinc S.A.U.,ASTUZINC ELECTRO 99.995%,Special High Grade Zinc,Spain,,,,,0,,,
Nyrstar Sales & Marketing AG,NYRSTAR CLARKSVILLE Z1,Special High Grade Zinc,USA,,,,,0,,,
Aurubis Beerse NV,M,Tin,Belgium,,,,,0,,,
Empresa Metalurgica Vinto,ENAF,Tin,Bolivia,,,,,0,,,
Mineracao Taboca SA,MAMORE,Tin,Brazil,,,,,0,,,
White Solder Metalurgia e Mineracao LTDA,WHITE SOLDER BR,Tin,Brazil,,,,,0,,,
China Tin Smelter Co. Ltd.,JH,Tin,China,,,,,0,,,
"Gejiu Zili Mining and Smelting Co., Ltd.",YS,Tin,China,,,,,0,,,
Yunnan Tin Company Limited,YT,Tin,China,,,,,0,,,
"Yunnan Chengfeng Non-Ferrous Metals Co., Ltd.",YUNHENG,Tin,China,,,,,0,,,
"Gejiu Kaimeng Industry and Trade Co., Ltd",YUNXIANG,Tin,China,,,,,0,,,
Gejiu Jinye Renewable Technology Co Ltd,YINSHENG,Tin,China,,,,,0,,,
PT Timah Tbk.,BANKA,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,,1,,,
PT. Bukit Timah,IMLI,Tin,Indonesia ,,,,,0,,,
PT. Babel Inti Perkasa,IMLI BELITUNG,Tin,Indonesia ,,,,,0,,,
PT Timah Tbk.,KUNDUR,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,,1,,,
PT Timah Tbk.,MENTOK,Tin,Indonesia ,,PT Merdeka Copper Gold Tbk,,,1,,,
PT. Mitra Stania Prima,MSP,Tin,Indonesia ,,,,,0,,,
PT. Refined Bangka Tin,RBT,Tin,Indonesia ,,,,,0,,,
PT. Tinindo Inter Nusa,TININDO,Tin,Indonesia ,,,,,0,,,
PT. Prima Timah Utama,PTU,Tin,Indonesia ,,,,,0,,,
Malaysia Smelting Corporation Bhd.,MALAYSIA SMELTING CORPORATION,Tin,Malaysia,,Malaysia,Malaysia Smelting,Malaysia,1,,,http://www.msmelt.com
Malaysia Smelting Corporation Bhd.,MALAYSIA SMELTING CORPORATION STRAITS REFINED TIN,Tin,Malaysia,,Malaysia,,,1,,,
Thailand Smelting & Refining Co Ltd,PHUKET,Tin,Thailand,,,,,0,,,
Thailand Smelting & Refining Co Ltd,THAISARCO,Tin,Thailand,,,,,0,,,
BHP Billiton Nickel West Pty Ltd,BHP BILLITON NICKEL BRIQUETTES,Primary Nickel,Australia,,,,,0,,,
BHP Nickel West Pty Ltd,BHP NICKEL BRIQUETTES,Primary Nickel,Australia,,,,BHP,1,Australia,"Mining, Oil, gas & coal",https://www.bhp.com/
Minara Resources Pty Ltd,MINARA HIGH GRADE NICKEL BRIQUETTES,Primary Nickel,Australia,,PTY,,,1,,,
Votorantim Metais S.A.,TOCANTINS,Primary Nickel,Brazil,,Votorantim,,,1,Brazil,"Finance & banking, Metals & steel, Paper & cardboard, Energy",http://www.votorantim.com.br
The Cobalt Refinery Company Inc,SHERRITT NICKEL BRIQUETTES,Primary Nickel,Canada,,,,,0,,,
Vale Canada Limited,VALE MELT ROUNDS,Primary Nickel,Canada,,Vale,,Vale,1,Brazil,"Energy, Oil, gas & coal, Metals & steel, Mining",http://www.vale.com/EN/Pages/default.aspx
Vale Canada Limited,VALE NICKEL PELLETS,Primary Nickel,Canada,,Vale,,Vale,1,Brazil,"Energy, Oil, gas & coal, Metals & steel, Mining",http://www.vale.com/EN/Pages/default.aspx
Vale Canada Limited,VALE PLATING ROUNDS,Primary Nickel,Canada,,Vale,,Vale,1,Brazil,"Energy, Oil, gas & coal, Metals & steel, Mining",http://www.vale.com/EN/Pages/default.aspx
"Yantai Cash Industrial Co., Ltd.",CASH,Primary Nickel,China,,,,Chipper Cash,1,,,
"Jinchuan Group Co., Ltd.",JINTUO GRADE 1,Primary Nickel,China,,Jinchuan International,,,1,,,
Norilsk Nickel Harjavalta Oy,NORILSK NICKEL HARJAVALTA CATHODES,Primary Nickel,Finland,,,,,0,,,
Norilsk Nickel Harjavalta Oy,NORILSK NICKEL HARJAVALTA BRIQUETTES,Primary Nickel,Finland,,,,,0,,,
Sibanye-Stillwater Sandouville Refinery,NICKEL HP,Primary Nickel,France,,,,HP,1,,,
"Sumitomo Metal Mining Co., Ltd.",SUMITOMO METAL MINING CO. LTD,Primary Nickel,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Sumitomo Metal Mining Co., Ltd.",SMM,Primary Nickel,Japan,,"joint venture between Vale, Sumitomo Metal Mining and Mining Industry Indonesia",,,1,,,
"Dynatec Madagascar S.A. a ""société anonyme""",AMBATOVY NICKEL BRIQUETTES,Primary Nickel,Madagascar,,,,,0,,,
Glencore Nikkelverk AS,NIKKELVERK NICKEL,Primary Nickel,Norway,,Glencore,,,1,Switzerland,"Metals & steel, Mining, Oil, gas & coal",https://www.glencore.com/
