 Country/Region,Brand,LMEsword Code ,Producer,Deliverable Shape,Warrant Issuance,Last Warrantable Date,Special Notes,material, Country/Region,LMEsword Code,Unnamed: 8,GRADES ,99.97,99.985,99.99,99.97.1,99.985.1,99.99.1,99.994,99.97.2,99.995
China,GUIYE,GUIYE,Jiangxi Copper Company Ltd.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,HLJ ZIJIN,HLJZIJ,Heilongjiang Zijin Copper Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,HUMON-D,HUMOND,"Shandong Humon Smelting Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JCC,JCC,Jiangxi Copper Company Ltd.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JCC-QY,JCCQY,"Jiangxi Copper (QingYuan) Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JILIN ZIJIN,JIZIJIN,"Jilin Zijin Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JINFENG,JINFEN,"Zhejiang Jiangtong Fuye Heding Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JINTUN,JINTUN,"Jinlong Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,Produced after 31/8/1997,Copper - Grade A,,,,,,,,,,,,,
China,JINXI,JINXI,"Dongying Jinxi Copper Co., Ltd",Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
China,JNMC,JNMC,"Jinchuan Group Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,JNMCc,JNMCC,Guangxi Jinchuan Non-Ferrous Metals Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,LFC,LFC,Dongying Lufang Metals Material Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,TIE FENG,TIEFEN,"Yunnan Copper Industry Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,TG-JG,TGJG,"Tongling Nonferrous Metals Group Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,TG-JL,TGJL,"Jinlong Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,XGC,XGC,YangGu Xiangguang Copper Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,XGC II,XGCII,YangGu Xiangguang Copper Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,YG,YGCU,"Henan Yuguang Gold & Lead Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,ZIJIN,ZIJICU,"Zijin Copper Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,QL,QL,"Guangxi Nanko Copper Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
China,ZJZY,ZJZY,Henan Zhongyuan Gold Smelter LLC,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Finland,BCH,BCH,Boliden Harjavalta Oy,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Germany,HK,HKC,Aurubis AG,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Germany,NA-ESN,NAESN,Aurubis AG,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
India,BIRLA COPPER,BIRLA,Hindalco Industries Limited,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
India,BIRLA COPPER II,BIRLA2,Hindalco Industries Limited,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
India,STERLITE,STERLT,Vedanta Limited,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
India,STERLITE T,STERT,Vedanta Limited,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Indonesia,GRESIK,GRESIK,PT Smelting,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,HR,HR,JX Nippon Mining & Metals Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,MITSUBISHI,MITSUB,Mitsubishi Materials Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,OSR,OSR,Onahama Smelting & Refining Co Ltd,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,SR-P,SRP,JX Nippon Mining & Metals Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,SUMIKO N,SUMIN,"Sumitomo Metal Mining Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,SUMIKO-S,SUMIS,"Sumitomo Metal Mining Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,SUMIKO T,SUMIT,"Sumitomo Metal Mining Co., Ltd.",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Japan,TAMANO-P,TAMP,"Hibi Kyodo Smelting Co., Ltd",Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Korea (South),ONSAN I,ONSI,LS MnM.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Korea (South),ONSAN II,ONS,LS MnM.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Laos,SEPON,SEPON,Lane Xang Minerals Limited,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Mexico,CER,CER,Metalurgica de Cobre S.A. de C.V.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Myanmar,MONYWA LPT,MONLPT,Myanmar Wanbao Mining Copper Ltd.,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Myanmar,MONYWA S&K,MONYWA,Myanmar Yang Tse Copper Limited,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Norway,FHG,FHG,Glencore Nikkelverk AS,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Peru,SMCV,SMCVB,Sociedad Contractual Minera Cerro Verde,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Peru,SPCC-ILO,SPCCIL,Southern Peru Copper Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Peru,SPCC-SXEW,SPCCSX,Southern Peru Copper Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Philippines,PSR ISABEL,PSR,Philippine Associated Smelting and Refining Corporation,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Poland,HMG-B,HMGB,KGHM Polska Miedz SA,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Poland,HMG-S,HMGS,KGHM Polska Miedz SA,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Poland,HML,HML,KGHM Polska Miedz SA,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Russia,NORNICKEL ,NORNCU,PJSC “MMC “Norilsk Nickel”,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Russia,NORILSK,NORCU,PJSC “MMC “Norilsk Nickel”,Full plate cathodes,NEW WARRANTS CANNOT BE ISSUED FROM THE DEFINED DATE,2023-10-19,,Copper - Grade A,,,,,,,,,,,,,
Russia,UMMC,UMMC,JSC Uralelektromed,Full plate cathodes,WARRANTABLE,,See Notice 22/239 for restrictions on the warranting of this brand.,Copper - Grade A,,,,,,,,,,,,,
Russia,UMMC II,UMMCII,JSC Uralelektromed,Full plate cathodes,WARRANTABLE,,See Notice 22/239 for restrictions on the warranting of this brand.,Copper - Grade A,,,,,,,,,,,,,
South Africa,RIO TINTO PALABORA MINING COMPANY LIMITED,RTPAL,Palabora Mining Company Limited,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Spain,FMS,FMS,Atlantic Copper S.L.U.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Spain,FQM-CLC,FQMCLC,Cobre Las Cruces S.A.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Sweden,BK,BK,Boliden Mineral AB,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,ATR,ATRA,ASARCO LLC,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
USA,CBCC,CBCC,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,CTB,CTB,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,KUC,KUC,Kennecott Utah Copper LLC,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,P*D,PD,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,PD*GO,PDGO,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,PDMI,PDMI,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
USA,PDSS,PDSS,Freeport-McMoRan Copper & Gold Inc.,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Zambia,CMC,CMC,Chambishi Metals Plc,Full plate cathodes,NO NEW WARRANTS CAN BE ISSUED,,,Copper - Grade A,,,,,,,,,,,,,
Zambia,MCM2,MCM2,Mopani Copper Mines Plc,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Zambia,REC,REC,Konkola Copper Mines plc,Full plate cathodes,WARRANTABLE,,,Copper - Grade A,,,,,,,,,,,,,
Intentionally blank,,,,,,,,Copper - Grade A,,,,,,,,,,,,,
,NYRSTAR BHAS 9997,,Nyrstar Sales & Marketing AG,Ingots,WARRANTABLE,,,Lead,Australia,NYRS97,,,Y,,,,,,,,
,NYRSTAR BHAS 9999,,Nyrstar Sales & Marketing AG,Ingots,WARRANTABLE,,,Lead,Australia,NYRS99,,,,,Y,,,,,,
,ZINIFEX BHAS BROKEN HILL - AUSTRALIA 9997,,Nyrstar Sales & Marketing AG,Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,Australia,ZIN997,,,Y,,,Y,,,,,
,BBU,,ECOBAT Resources Austria,Ingots,WARRANTABLE,,,Lead,Austria,BBU,,,Y,,,,,,,,
,MCR MADE IN BELGIUM,,Campine Recycling NV,Ingots,WARRANTABLE,,,Lead,Belgium,MCRBEL,,,Y,,,,,,,,
,UMICORE 99.97,,Umicore,Ingots,WARRANTABLE,,,Lead,Belgium,UMI997,,,Y,,,Y,,,,,
,UMICORE 99.985,,Umicore,Ingots,WARRANTABLE,,,Lead,Belgium,UMI985,,,,Y,,,,,,,
,UMICORE 99.99,,Umicore,Ingots,WARRANTABLE,,,Lead,Belgium,UMI999,,,,,Y,,,Y,,,
,KUM 99.97%,,KCM AD,Ingots,WARRANTABLE,,,Lead,Bulgaria,KM9997,,,Y,,,,,,,,
,KUM 99.99%,,KCM AD,Ingots,WARRANTABLE,,,Lead,Bulgaria,KM9999,,,,,Y,,,,,,
,TECK COMINCO,,Teck Metals Ltd.,Ingots,WARRANTABLE,,,Lead,Canada,TECOM,,,,,Y,,,,,,
,NOVA PB 9997,,Terrapure Environmental,Ingots,WARRANTABLE,,,Lead,Canada,NOVA97,,,Y,,,,,,,Y,
,TONOLLI CANADA,,Terrapure Environmental,Ingots,WARRANTABLE,,,Lead,Canada,TONOLL,,,Y,,,,,,,,
,HS Pb99.994PCT,,"Honghe Red Lead Chemical Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,HSPB,,,,,,,,,Y,,
,IBIS,,"Baiyin Nonferrous Group Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,IBIS,,,,,,,,,Y,,
,JIJIN,,"Henan Jinli Gold and Lead Group Co., Ltd",Ingots,WARRANTABLE,,,Lead,China,JIJIN,,,,,,,,,Y,,
,JINYUTENG,,"Hunan Yuteng Nonferrous Metals Co., Ltd.",Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,China,JINYUT,,,,,,,,,Y,,
,NH-R,,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,Ingots,WARRANTABLE,,,Lead,China,NHR,,,,,,,,,Y,,
,NF,,Guangxi Nandan Nanfang Metal Company Limited,Ingots,WARRANTABLE,,,Lead,China,NF,,,,,,,,,Y,,
,SKS,,"Hunan Shui Kou Shan Nonferrous Metals Group Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,SKS,,,,,,,,,Y,,
,WANYANG,,"Jiyuan Wanyang Smeltery Group Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,WANYAN,,,,,,,,,Y,,
,YUGUANG,,"Henan Yuguang Gold and Lead Co., Ltd",Ingots,WARRANTABLE,,,Lead,China,YUG,,,,,,,,,Y,,
,YUNSHA PB99.994%MIN,,"Yunnan Zhenxing Industry Group Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,YUNSHA,,,,,,,,,Y,,
,YQ 99994,,"Yunnan Chihong Zinc & Germanium Co., Ltd.",Ingots,WARRANTABLE,,,Lead,China,YQ94,,,,,,,,,Y,,
,YNG,,"Luoyang Yongning Nonferrous Technology Co., Ltd",Ingots,WARRANTABLE,,,Lead,China,YNG,,,,,,,,,,,
,YY PB 99.994PCT,,Shadian Refinery,Ingots,NEW WARRANTS CANNOT BE ISSUED FROM THE DEFINED DATE,2022-12-02,,Lead,China,YY,,,,,,,,,Y,,
,FMB PB970R,,Metalblanc,Ingots,WARRANTABLE,,,Lead,France,FMB970,,,Y ,,,Y,,,,Y,
,FMB PB985R,,Metalblanc,Ingots,WARRANTABLE,,,Lead,France,FMB985,,,,Y,,,Y,,,,
,GAST 970R,,Affinerie de Pont Sainte Maxence,Ingots,WARRANTABLE,,,Lead,France,GAST,,,Y,,,,,,,,
,STCM 970R,,Societe de Traitements Chimiques des Metaux,Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,France,STCM,,,Y,,,,,,,,
,AURUBIS F99.985,,Aurubis AG,Ingots,WARRANTABLE,,,Lead,Germany,AURUB,,,,Y,,,,,,,
,BSB,,ECOBAT Resources Braubach,Ingots,WARRANTABLE,,,Lead,Germany,BSB,,,Y,,,,,,,,
,F,,ECOBAT Resources Freiberg,Ingots,WARRANTABLE,,,Lead,Germany,F,,,Y,,,,,,,,
,ME WESER,,Nordenham Metall GmbH,Ingots,WARRANTABLE,,,Lead,Germany,MEWE,,,Y,,,,,,,,
,STOLBERG,,ECOBAT Resources Stolberg,Ingots,WARRANTABLE,,,Lead,Germany,STOLBE,,,Y,,,,,,,,
,POCL PB970R,,Pondy Oxides and Chemicals Limited,Ingots,WARRANTABLE,,,Lead,India,POCLPB ,,,Y,,,,,,,,
,VEDANTA 99.99,,Hindustan Zinc Ltd.,Ingots,WARRANTABLE,,Please refer to Notice 13 027,Lead,India,VEDAN,,,,,Y,,,,,,
,VEDANTA PB 99.99,,Hindustan Zinc Ltd.,Ingots,WARRANTABLE,,,Lead,India,VEPB99,,,,,Y,,,,,,
,IMLI PB 99.97,,PT. Indra Eramulti Logam Industri,Ingots,WARRANTABLE,,,Lead,Indonesia,IMLI97,,,Y,,,Y,,,,,
,IMLI PB 99.99,,PT. Indra Eramulti Logam Industri,Ingots,WARRANTABLE,,,Lead,Indonesia,IMLI99,,,,,Y,,,Y,,,
,HK970R,,Hakurnas Lead Works Ltd.,Ingots,WARRANTABLE,,,Lead,Israel,HK970R,,,Y,,,,,,,,
,MAK-1,,Piombifera Italiana S.p.A.,Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,Italy,MAK1,,,Y,,,Y,,,,Y,
,P. COLOMBO,,Piomboleghe Srl,Ingots,WARRANTABLE,,,Lead,Italy,COLMBO,,,Y,,,,,,,,
,ECO BAT,,Eco-Bat S.r.l.,Ingots,WARRANTABLE,,,Lead,Italy,ECOBAT,,,Y,,,,,,,,
,SAN GAVINO,,Portovesme Srl,Ingots,WARRANTABLE,,,Lead,Italy,SANGAV,,,Y,,,Y,,,,,
,EMK-K,,Mitsui Mining & Smelting Co Ltd,Ingots,WARRANTABLE,,,Lead,Japan,EMKK,,,Y,,,,,,,,
,EMK-T,,Mitsui Mining & Smelting Co Ltd,Ingots,WARRANTABLE,,,Lead,Japan,EMKT,,,Y,,,,,,,,
,TAK,,Toho Zinc Co Ltd,Ingots,WARRANTABLE,,,Lead,Japan,TAK,,,,,Y,,,,,,
,THREE DIAMOND,,"Hosokura Metal Mining Co., Ltd.",Ingots,WARRANTABLE,,,Lead,Japan,THREED,,,Y,,,,,,,,
,YK,,Kazzinc Ltd.,Ingots,WARRANTABLE,,,Lead,Kazakhstan,YK,,,,,,,,,Y,,
,KZ-LEAD,,Korea Zinc Co Ltd,Ingots,WARRANTABLE,,,Lead,Korea (South),KZLEAD,,,,,,,,,,,Y
,JIM 99.985,,Joong-IL Metals Inc.,Ingots,WARRANTABLE,,,Lead,Korea (South),JIM985,,,,Y,,,,,,,
,ARAYBY 99.97% MADE IN A.C. LEBANON,,Arayby for Industrial & Trading Company s.a.r.l.,Ingots,WARRANTABLE,,,Lead,Lebanon,ARA997,,,Y,,,,,,,,
,ARAYBY 99.985% MADE IN A.C. LEBANON,,Arayby for Industrial & Trading Company s.a.r.l.,Ingots,WARRANTABLE,,,Lead,Lebanon,ARA985,,,,Y,,,,,,,
,PENOLES,,Metalurgica Met-Mex Penoles SA de CV,Ingots,WARRANTABLE,,,Lead,Mexico,PENOLE,,,Y,,,Y,,,,Y,
,PIPSA 99.970%,,"Corporación Pipsa, S.A. de C.V.",Ingots,WARRANTABLE,,,Lead,Mexico,PIPSA,,,Y,,,Y,,,,Y,
,EAGLE 9997,,Orzel Bialy S.A.,Ingots,WARRANTABLE,,,Lead,Poland,EAGLE,,,Y,,,,,,,,
,H20POLSKAMS,,"Huta Cynku ""Miasteczko Slaskie"" S.A.",Ingots,WARRANTABLE,,,Lead,Poland,H20P,,,Y,,,,,,,,
,KGHM PB970R,,KGHM Polska Miedz SA,Ingots,WARRANTABLE,,,Lead,Poland,KGHM97,,,Y,,,,,,,,
,KGHM PB985R,,KGHM Polska Miedz SA,Ingots,WARRANTABLE,,,Lead,Poland,KGHM98,,,,Y,,,,,,,
,KGHM PB990R,,KGHM Polska Miedz SA,Ingots,WARRANTABLE,,,Lead,Poland,KGHM99,,,,,Y,,,,,,
,FRGT PB985R,,Fregat LLC,Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,Russia,FRGT,,,,Y,,,,,,,
,FRY'S 99.97 RSL,,Fry's Metals - a Division of Zimco Group (Pty) Ltd,Ingots,WARRANTABLE,,,Lead,South Africa,FRYS97,,,Y,,,,,,,,
,FESA,,"Metalurgica de Medina, S.A.",Ingots,WARRANTABLE,,,Lead,Spain,FESA,,,,Y,,,Y,,,,
,RECOBAT PB,,Derichebourg España S.A.U,Ingots,WARRANTABLE,,,Lead,Spain,RECO,,,Y,,,Y,,,,Y,
,RECOBAT PB985R,,Derichebourg España S.A.U,Ingots,WARRANTABLE,,,Lead,Spain,REC985,,,,Y,,,Y,,,,
,TUDOR,,"Exide Technologies, S.L.U.",Ingots,WARRANTABLE,,,Lead,Spain,TUDOR,,,Y,,,,,,,,
,BERA,,Boliden Bergsoe AB,Ingots,WARRANTABLE,,,Lead,Sweden,BERA,,,Y,,,Y,,,,,
,BOLIDEN 9997,,Boliden Mineral AB,Ingots,WARRANTABLE,,,Lead,Sweden,BO9997,,,Y,,,Y,,,,Y,
,JS PB970R,,Jian Shin Resources Corporation,Ingots,NO NEW WARRANTS CAN BE ISSUED,,,Lead,Taiwan,JSPB97,,,Y,,,,,,,,
,TMI,,Thye Ming Industrial Co Ltd,Ingots,WARRANTABLE,,,Lead,Taiwan,TMI,,,Y,,,,,,,,
,BML PB99.97,,"Bergsoe Metals Co., Ltd",Ingots,WARRANTABLE,,,Lead,Thailand,BML97,,,,,,,,,,,
,XINXIN.BML 99.994,,"Bergsoe Metals Co., Ltd.",Ingots,WARRANTABLE,,,Lead,Thailand,XINXIN,,,,,,,,,Y,,
,BLCO 9997%,,Britannia Refined Metals Ltd,Ingots,WARRANTABLE,,,Lead,UK,BLCO97,,,Y,,,,,,,,
,BLCO 9999%,,Britannia Refined Metals Ltd,Ingots,WARRANTABLE,,,Lead,UK,BLCO99,,,,,Y,,,Y,,,
,BLCO 99994%,,Britannia Refined Metals Ltd,Ingots,WARRANTABLE,,,Lead,UK,BLCO94,,,,,,,,,Y,,
,BLCO 99995%,,Britannia Refined Metals Ltd,Ingots,WARRANTABLE,,,Lead,UK,BLCO95,,,,,,,,,,,Y
,BLCO 99985,,Britannia Refined Metals Ltd,Ingots,WARRANTABLE,,,Lead,UK ,BLCO85,,,,,,,,,,,
,HJ ENTHOVEN & SONS,,H.J. Enthoven & Sons,Ingots,WARRANTABLE,,,Lead,UK,HJENTH,,,Y,,,Y,,,,Y,
,SVINETS 99.97,,"CJSC ""SVINETS""",Ingots,WARRANTABLE,,,Lead,Ukraine,SVIN97,,,Y,,,Y,,,,,
,SVINETS 99.99,,"CJSC ""SVINETS""",Ingots,WARRANTABLE,,,Lead,Ukraine,SVIN99,,,,,Y,,,Y,,,
,SANDERS,,"Sanders Lead Co., Ltd.",Ingots,WARRANTABLE,,,Lead,USA,SAND,,,Y,,,,,,,,
